# schema.function(args)|returns|volatility|security|config
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
finance.decide_period_reopen(p_request_id uuid, p_admin_profile_id uuid, p_approve boolean, p_note text)|void|volatile|definer|search_path=finance, ops, pg_temp
finance.ensure_periods(p_well_id uuid, p_date date)|void|volatile|definer|search_path=finance, core, pg_temp
finance.fill_expense_context()|trigger|volatile|definer|search_path=finance, ops, core, pg_temp
finance.journalize_expense()|trigger|volatile|definer|search_path=finance, core, pg_temp
finance.journalize_fuel_transaction()|trigger|volatile|definer|search_path=finance, core, pg_temp
finance.ledger_account_id(p_well_id uuid, p_code text)|uuid|volatile|definer|search_path=finance, pg_temp
finance.main_cashbox_id(p_well_id uuid)|uuid|stable|definer|search_path=finance, pg_temp
finance.notify_expense_recorded()|trigger|volatile|definer|search_path=finance, ops, pg_temp
finance.pay_partner_distribution(p_distribution_line_id uuid, p_amount_minor bigint, p_paid_by uuid, p_paid_at timestamp with time zone)|jsonb|volatile|definer|search_path=finance, core, audit, iam, pg_temp
finance.pay_salary(p_accrual_id uuid, p_paid_by uuid)|void|volatile|definer|search_path=finance, core, pg_temp
finance.post_journal_entry(p_entry_id uuid, p_posted_by uuid)|void|volatile|definer|search_path=finance, public
finance.post_opening_balance_batch(p_batch_id uuid, p_posted_by uuid)|void|volatile|definer|search_path=finance, core, inventory, pg_temp
finance.prevent_approved_cycle_change()|trigger|volatile|invoker|-
finance.prevent_approved_line_change()|trigger|volatile|definer|search_path=finance, pg_temp
finance.prevent_approved_opening_item_change()|trigger|volatile|definer|search_path=finance, pg_temp
finance.prevent_posted_entry_change()|trigger|volatile|invoker|-
finance.prevent_posted_line_change()|trigger|volatile|invoker|-
finance.read_partner_overview(p_well_id uuid)|jsonb|stable|definer|search_path=pg_catalog, pg_temp
finance.record_expense(p_well_id uuid, p_category_code text, p_amount_minor bigint, p_description text, p_created_by uuid, p_attachment_url text, p_attachment_skipped boolean, p_payment_source text, p_note text, p_partner_id uuid)|uuid|volatile|definer|search_path=finance, core, ops, pg_temp
finance.request_period_reopen(p_period_id uuid, p_requested_by uuid, p_reason text)|uuid|volatile|definer|search_path=finance, core, ops, pg_temp
finance.reverse_journal_entry(p_entry_id uuid, p_reason text, p_posted_by uuid)|uuid|volatile|definer|search_path=finance, core, pg_temp
finance.seed_expense_categories()|trigger|volatile|definer|search_path=finance, pg_temp
finance.validate_opening_balance_item()|trigger|volatile|invoker|search_path=finance, pg_temp
iam.can_staff_read_profile(p_profile_id uuid)|boolean|stable|definer|search_path=pg_catalog, pg_temp
iam.current_farmer_well_account_id(p_well_id uuid)|uuid|stable|definer|search_path=pg_catalog, pg_temp
iam.current_person_id(p_tenant_id uuid)|uuid|stable|definer|search_path=iam, core, pg_temp
iam.handle_new_user()|trigger|volatile|definer|search_path=iam, pg_temp
iam.has_farmer_self_access(p_well_id uuid)|boolean|stable|invoker|search_path=pg_catalog, pg_temp
iam.has_well_permission(p_well_id uuid, p_permission_code text)|boolean|stable|definer|search_path=pg_catalog, pg_temp
iam.has_well_role(p_well_id uuid, p_roles text[])|boolean|stable|definer|search_path=core, pg_temp
iam.is_partner_only(p_well_id uuid)|boolean|stable|definer|search_path=pg_catalog, pg_temp
iam.is_well_partner(p_well_id uuid)|boolean|stable|definer|search_path=core, pg_temp
iam.protect_profile_person_link_history()|trigger|volatile|invoker|search_path=pg_catalog, pg_temp
iam.update_own_profile_name(p_full_name text)|jsonb|volatile|definer|search_path=iam, pg_temp
inventory.apply_fuel_transaction()|trigger|volatile|definer|search_path=inventory, pg_temp
inventory.bridge_fuel_purchase()|trigger|volatile|definer|search_path=inventory, core, pg_temp
inventory.create_default_fuel_tank()|trigger|volatile|definer|search_path=inventory, core, pg_temp
inventory.farmer_fuel_balance_ml(p_well_id uuid, p_person_id uuid)|bigint|stable|definer|search_path=inventory, pg_temp
inventory.fill_fuel_transaction()|trigger|volatile|definer|search_path=inventory, core, ops, pg_temp
inventory.purchase_fuel(p_well_id uuid, p_liters numeric, p_cost_minor bigint, p_purchased_at timestamp with time zone, p_recorded_by uuid)|jsonb|volatile|definer|search_path=inventory, finance, core, audit, iam, pg_temp
inventory.record_fuel_consumption(p_well_id uuid, p_quantity_ml bigint, p_ownership_type text, p_measurement_type text, p_owner_person_id uuid, p_farmer_well_account_id uuid, p_fuel_tank_id uuid, p_session_segment_id uuid, p_occurred_at timestamp with time zone, p_created_by uuid, p_estimated_transaction_id uuid)|jsonb|volatile|definer|search_path=inventory, finance, ops, core, audit, iam, pg_temp
inventory.record_physical_fuel_count(p_well_id uuid, p_fuel_tank_id uuid, p_measured_balance_ml bigint, p_counted_at timestamp with time zone, p_counted_by uuid, p_notes text)|jsonb|volatile|definer|search_path=inventory, finance, core, audit, iam, pg_temp
ops.attach_session_to_open_shift()|trigger|volatile|definer|search_path=ops, pg_temp
ops.capture_session_price_snapshot()|trigger|volatile|definer|search_path=ops, billing, pg_temp
ops.change_session_energy_source(p_session_id uuid, p_new_source text, p_changed_at timestamp with time zone, p_closed_fuel_quantity_ml bigint, p_closed_fuel_measurement_type text, p_new_fuel_owner_person_id uuid)|uuid|volatile|definer|search_path=ops, core, iam, pg_temp
ops.check_debt_thresholds()|jsonb|volatile|definer|search_path=ops, reporting, billing, core, iam, auth, pg_temp
ops.close_shift(p_shift_id uuid, p_allow_open_sessions boolean)|uuid|volatile|definer|search_path=ops, pg_temp
ops.complete_irrigation_session(p_session_id uuid, p_ended_at timestamp with time zone, p_fuel_quantity_ml bigint, p_fuel_measurement_type text, p_fuel_tank_id uuid)|jsonb|volatile|definer|search_path=ops, billing, inventory, core, audit, iam, pg_temp
ops.compute_session_charge()|trigger|volatile|definer|search_path=ops, billing, pg_temp
ops.confirm_handover(p_handover_id uuid, p_confirmed_amount_minor bigint, p_confirmed_by uuid, p_difference_reason text)|text|volatile|definer|search_path=ops, pg_temp
ops.create_booking(p_well_id uuid, p_farmer_well_account_id uuid, p_farm_id uuid, p_scheduled_start timestamp with time zone, p_scheduled_end timestamp with time zone, p_pump_id uuid, p_water_line_id uuid, p_expected_energy_source text, p_priority integer, p_notes text)|jsonb|volatile|definer|search_path=ops, core, audit, iam, pg_temp
ops.create_farm(p_well_id uuid, p_name text, p_farmer_well_account_id uuid)|jsonb|volatile|definer|search_path=ops, core, audit, iam, pg_temp
ops.create_farmer(p_well_id uuid, p_full_name text, p_phone text, p_preferred_name text, p_notes text, p_credit_limit_minor bigint)|jsonb|volatile|definer|search_path=ops, core, audit, iam, public, extensions, pg_temp
ops.create_price_schedule(p_well_id uuid, p_name text, p_effective_from timestamp with time zone, p_reason text, p_solar_rate_minor bigint, p_well_diesel_rate_minor bigint, p_farmer_diesel_rate_minor bigint)|jsonb|volatile|definer|search_path=pg_catalog, pg_temp
ops.create_priced_session_segment(p_session_id uuid, p_energy_source text, p_started_at timestamp with time zone, p_fuel_owner_person_id uuid)|uuid|volatile|definer|search_path=ops, billing, core, pg_temp
ops.declare_handover(p_shift_id uuid, p_amount_minor bigint, p_to_profile_id uuid, p_to_description text, p_note text)|uuid|volatile|definer|search_path=ops, pg_temp
ops.enforce_farm_assignment_consistency()|trigger|volatile|invoker|search_path=ops, pg_temp
ops.flag_approaching_long_sessions()|SETOF uuid|volatile|definer|search_path=ops, core, iam, pg_temp
ops.flag_long_running_sessions()|SETOF uuid|volatile|definer|search_path=ops, core, iam, pg_temp
ops.notify_profile(p_profile_id uuid, p_well_id uuid, p_type text, p_message text, p_session_id uuid)|uuid|volatile|definer|search_path=ops, pg_temp
