# schema.table|column|type|nullability|default
# مولَّد آليًا بـ scripts/db_index.sh — لا يُحرَّر يدويًا
core.well_partners|activated_at|timestamp with time zone|null|-
core.well_partners|notes|text|null|-
core.well_partners|created_at|timestamp with time zone|NOT NULL|now()
core.well_partners|updated_at|timestamp with time zone|NOT NULL|now()
core.well_partners|joined_at|date|null|-
core.well_partners|left_at|date|null|-
core.well_settings|well_id|uuid|NOT NULL|-
core.well_settings|long_session_alert_minutes|integer|NOT NULL|360
core.well_settings|session_ending_alert_minutes|integer|NOT NULL|10
core.well_settings|created_at|timestamp with time zone|NOT NULL|now()
core.well_settings|updated_at|timestamp with time zone|NOT NULL|now()
core.wells|id|uuid|NOT NULL|gen_random_uuid()
core.wells|tenant_id|uuid|NOT NULL|-
core.wells|name|text|NOT NULL|-
core.wells|location|text|null|-
core.wells|status|text|NOT NULL|'active'::text
core.wells|created_at|timestamp with time zone|NOT NULL|now()
core.wells|updated_at|timestamp with time zone|NOT NULL|now()
core.wells|location_id|uuid|null|-
core.wells|depth_meters|numeric(8,2)|null|-
core.wells|static_water_level_meters|numeric(8,2)|null|-
core.wells|notes|text|null|-
finance.accounting_periods|id|uuid|NOT NULL|gen_random_uuid()
finance.accounting_periods|tenant_id|uuid|NOT NULL|-
finance.accounting_periods|well_id|uuid|NOT NULL|-
finance.accounting_periods|period_type|text|NOT NULL|-
finance.accounting_periods|starts_at|date|NOT NULL|-
finance.accounting_periods|ends_at|date|NOT NULL|-
finance.accounting_periods|status|text|NOT NULL|'open'::text
finance.accounting_periods|closed_at|timestamp with time zone|null|-
finance.accounting_periods|closed_by|uuid|null|-
finance.accounting_periods|reopened_at|timestamp with time zone|null|-
finance.accounting_periods|reopened_by|uuid|null|-
finance.accounting_periods|created_at|timestamp with time zone|NOT NULL|now()
finance.cashboxes|id|uuid|NOT NULL|gen_random_uuid()
finance.cashboxes|tenant_id|uuid|NOT NULL|-
finance.cashboxes|well_id|uuid|NOT NULL|-
finance.cashboxes|public_code|text|null|core.generate_public_code('CBX'::text)
finance.cashboxes|name|text|NOT NULL|-
finance.cashboxes|cashbox_type|text|NOT NULL|-
finance.cashboxes|assigned_profile_id|uuid|null|-
finance.cashboxes|status|text|NOT NULL|'active'::text
finance.cashboxes|notes|text|null|-
finance.cashboxes|created_at|timestamp with time zone|NOT NULL|now()
finance.distribution_settings|well_id|uuid|NOT NULL|-
finance.distribution_settings|tenant_id|uuid|NOT NULL|-
finance.distribution_settings|withhold_liabilities|boolean|NOT NULL|true
finance.distribution_settings|created_at|timestamp with time zone|NOT NULL|now()
finance.distribution_settings|updated_at|timestamp with time zone|NOT NULL|now()
finance.expense_approval_rules|id|uuid|NOT NULL|gen_random_uuid()
finance.expense_approval_rules|tenant_id|uuid|NOT NULL|-
finance.expense_approval_rules|well_id|uuid|null|-
finance.expense_approval_rules|category_id|uuid|null|-
finance.expense_approval_rules|min_amount_minor|bigint|NOT NULL|0
finance.expense_approval_rules|requires_approval|boolean|NOT NULL|true
finance.expense_approval_rules|approver_profile_id|uuid|null|-
finance.expense_approval_rules|effective_period|daterange|NOT NULL|daterange(CURRENT_DATE, NULL::date)
finance.expense_approval_rules|created_at|timestamp with time zone|NOT NULL|now()
finance.expense_approvals|id|uuid|NOT NULL|gen_random_uuid()
finance.expense_approvals|tenant_id|uuid|NOT NULL|-
